ลำดับ,"วัน/เดือน/ปี 
ที่ติดต่อเข้ามา",ชื่อผู้สนใจ/ชื่อ Facebook,Line,Facebook,ปกติ,สมทบ,ทางไกล,ปริญญา,คณะ,สาขา,วุฒิที่ใช้สมัคร,ผ่อนตรง,กู้ กยศ,"เบอร์โทร
ให้ติดต่อกลับ","วัน/เดือน/ปี
ที่ให้โทร",ช่วงเวลาให้ติดต่อกลับ,หมายเหตุ,ชื่อแอดมินที่ดูแล,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,,,,
,24/11/2025,Gunsonzen ixulmel Yajono,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,24/11/2025,Luponqua Nulutip,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0913306594,,,ขอเวลาตัดสินใจ,,ขอคิดดูก่อน,,,,,,,,,
,24/11/2025,Wanlemon'helquasa Zenanver,,ü,,,ü,ตรี,บริหารธุรกิจ,โลจิสติกส์,ปวส,,,,,,,,,,,,,,,,,
,24/11/2025,บุญบุญ บุญบุญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,24/11/2025,Tipsirpon Tipwyle,,ü,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,ป.ตรี,,,0695334446,,,,,โทร ขอดูค่าใช้จ่ายก่อน,,,,,,,,,
,24/11/2025,PIMSAPE Kitsaqua,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0664211582,,,,,โทร ไม่รับสาย,,,,,,,,,
,24/11/2025,ดีฟ้า ทิพกุล,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ตรี,,,,,,,,,,,,,,,,,
,24/11/2025,Wytorwy Dartorsa,,ü,,ü,,ตรี,บริหารธุรกิจ,คอมพิวเตอร์ธุรกิจ,ม.6,,,0916184424,,,,,ขอดูค่าใช้จ่ายก่อน,,,,,,,,,
,24/11/2025,ชื่นฟ้า มั่นพิม อัญขวัญ,,ü,,,ü,ตรี,บริหารธุุรกิจ,การจัดการ,ปวส,,,,,,,,,,,,,,,,,
,24/11/2025,Kari Dardeedar,,ü,,,ü,ตรี,บริหารธุรกิจ,การจััดการ,ปวส,,,,,,,,,,,,,,,,,
,24/11/2025,Quachai Ratbori,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน,,,,,,,,,,,,,,,,,
,25/11/2025,Zenhelwan omgunpim,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน,,,,,,,,,,,,,,,,,
,25/11/2025,Ratnari gunquajo,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน,,,0968847297,,,นัดชำระ 500 บาท,,,,,,,,,,,
,25/11/2025,ต้นพิม จันทร์ปิ่น,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช,,,,,,,,,,,,,,,,,
,25/11/2025,Guntipta ratanvin,,ü,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,ตรี,,,,,,,,,,,,,,,,,
,25/11/2025,Gunna melvinnu,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,25/11/2025,Fadeetor darhelsa,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,,,,,,,,,,,
,25/11/2025,Tipsamel ulvinom,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,25/11/2025,Fadarlu MELJOIX,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,25/11/2025,Tippemel raixlu,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน,,,,,,,,,,,,,,,,,
,25/11/2025,KITLUVIN,ü,,,,ü,โท/ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ตรี,,,0920719413,,,,,โทรใหม่หลังเลิกงาน,,,,,,,,,
,25/11/2025,BOCHAIJO2,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0952963817,สมัครแล้ว,,,,,,,,,,,,,
,25/11/2025,ดีภู่,ü,,,,ü,ตรี,,,,,,0907927061,,,,,โทรใหม่หลังเลิกงาน,,,,,,,,,
,25/11/2025,เพ็ญสุข มณีกุล ,ü,,,,ü,ตรี,,,,,,0836188504,,,,,ขอดูค่าใช้จ่ายก่อน,,,,,,,,,
,25/11/2025,Nochai kitwannu,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,25/11/2025,JONUOM,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,ü,0662354864,สมัครแล้ว,,,,,,,,,,,,,
,25/11/2025,Deedeevin Taomdee,ü,,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,,,,,,,,,,,,,,,,,
,25/11/2025,Melanmon,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช,,,,,,,,,,,,,,,,,
,25/11/2025,Pongunmon,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,25/11/2025,MELUL_vinjovin,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,,,,,,,,,,,,,,,
,26/11/2025,Riwymon ,ü,,,,ü,ตรี,รัฐ/บริหาร,,กศน ,,,0640421687,,,,,โทร ยังไม่ตัดสินใจ,,,,,,,,,
,26/11/2025,FAFACHAI,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0917542208>,,,,,ยังไม่ตัดสินใจ,,,,,,,,,
,26/11/2025,กัญฟ้า ดีขวัญ.,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0944519821,,,,,ไม่รับสาย,,,,,,,,,
,26/11/2025,Gunsirpon  Luwypim,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0919491153,,,,,ขอดูค่าใช้จ่ายก่อน,,,,,,,,,
,26/11/2025,Rapon Taomjo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน,,,0957511353,,,,,ยังไม่ตัดสินใจ,,,,,,,,,
,26/11/2025,กัญทิพ รักนิ่ม,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0615725290,,,,,ยังไม่ตัดสินใจ,,,,,,,,,
,26/11/2025,Ponta Kayachai,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน ,,,0939223742,,,,,สนใจสมัคร รอเงินเดือนออก,,,,,,,,,
,26/11/2025,Sanobo,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน,ü,,0924540572,สมัครแล้ว,,,,โทรใหม่หลังเลิกงาน,,,,,,,,,
,26/11/2025,Anixmel Nuyator,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0940566474,,,,,โทรใหม่หลังเลิกงาน,,,,,,,,,
,27/11/2025,Nazen Anwanra,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,097-0485482,,,ขอเอกสารหลักสูตรทางไลน์,,ยังไม่ตัดสินใจ,,,,,,,,,
,27/11/2025,Kitfa Ixnuhel,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,0663587906,,,,,ขอปรึกษาครอบครัวก่อน,,,,,,,,,
,27/11/2025,Torra Bodarle,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,,,0938597352,29-Nov-2025,,,,,,,,,,,,,
,27/11/2025,Wannugun Omnaan,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0663552509,สมัครแล้ว,,,,,,,,,,,,,
,28/11/2025,ฤดีเดือน,ü,,,,ü,ตรี,บริหารธุรกิจ,โลจิสติกส์ ,ม.6,,ü,0673731857,สมัครแล้้ว,,,,,,,,,,,,,
,28/11/2025,Meljo Pimjohel,,ü,,,ü,ตรี,บริหารธุรกิิจ,การจัดการ,ม.6,ü,,0952968620,สมัครแล้ว,,ทำงานกะดึก โทรหลัง 18.00 น.,,,,,,,,,,,
,28/11/2025,ชัยสุข กุลมณี,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช,ü,,,,,มีประกันสังคม ถามเรื่องสิทธิ์,,,,,,,,,,,
,28/11/2025,Bogun Fanodee rathelzen,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน ,ü,,,,,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,,,,,,,,,,,
,28/11/2025,Yape Gunyadar,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,28/11/2025,Deechairi Meltalu ,,ü,,,ü,ตรี,วิศวกรรมโยธา,,ป.ตรี,ü,,0650050376,28-Nov-2025,,,,ไม่รับสาย,,,,,,,,,
,28/11/2025,RILU,ü,,,ü,,ตรี,บริหารธุรกิจ,การตลาด,ปวช,ü,,,,,,,ยังไม่ตัดสินใจ,,,,,,,,,
,28/11/2025,Botorvin Anjowy,,ü,,,ü,ตรี,บริหารธุรกิจ,การจััดกา,ปวช,ü,,0972115936,,,,, ,,,,,,,,,
,29/11/2025,กิ่งนุช,,ü,,,ü,ตรี,,,,,,,,,,,,,,,,,,,,
,29/11/2025,Lutadar Melpimbo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,,,,,,,,,,,,,,,
,29/11/2025,Ixchaiul Quanopon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,29/11/2025,Joponhel Josonrat,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช,,,,,,,,,,,,,,,,,
,29/11/2025,Verver,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,,,,,,,,,,,,,,,,,
,29/11/2025,Lepimka Wynumon,,ü,,,ü,โท,บริหารธุรกิจ,บริหารธุรกิจ,ป.ตรี,ü,,0663762770,สมัครแล้ว,,,,,,,,,,,,,
,30/11/2025,Lunu Napimra,,ü,,,ü,ตรี,บริหารธุรกิจ,โลจิสติกส์,ม.6,,,0919402828,สมัครแล้ว,,,,,,,,,,,,,
,30/11/2025,Ramelver  darsaya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,30/11/2025,Verpimnu Ramonsa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวท,,,,,,,,,,,,,,,,,
,30/11/2025,ยิ่งปิ่น ฤดีฟ้า,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,30/11/2025,Darhel Darhel,,ü,,,ü,ตรี,บริหารธุรกิจ,โลจิสติกส์,ปวช,,,,,,,,,,,,,,,,,
,1/12/2025,Daryale Omkabo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,,,,,,,,,,,,,,,
,1/12/2025,พิมรุ่ง นิ่มมณี,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,1/12/2025,Wanbochai riixpe ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,ขอเวลาตัดสินใจ,,,,,,,,,,,
,1/12/2025,Wannosa Monleka,,ü,,,ü,โท,บริหารธุรกิจ,บริหารธุรกิจ,ตรี,,,,,,,,,,,,,,,,,
,1/12/2025,เพ็ญอุ่น.ฟ้าภัทร ภูมิพร้อม,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,,,,,,,,,,,,,,,,,
,2/12/2025,Wyquanu sonvinqua,,ü,,ü,,ตรี,นิติศาสตร์,นิติศาสตร์,ม.6,,,,,,,,,,,,,,,,,
,2/12/2025,Rana Pimtaya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการธุรกิจสุขภาพ,ปวส,,,,,,,,,,,,,,,,,
,2/12/2025,Tafa Ponbopon,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ตรี,,,,,,,,,,,,,,,,,
,2/12/2025,Montor Sirsonrat,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน,,,092-6102942,31-Mar-2026,,,,,,,,,,,,,
,2/12/2025,Chaison Chaison Bojole,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช,,,,,,,,,,,,,,,,,
,2/12/2025,Ixchaiul Quanopon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,3/12/2025,Kakadar Josonrat,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช,,,,,,,,,,,,,,,,,
,5/12/2025,นิ่มแก้ว🌼🐼,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,091-8181574,,,,,,,,,,,,,,
,3/12/2025,Pimdardee Vinverpim,,ü,,,ü,ตรี,,,ม.6,,,067-7527216,,,,,โทร ยังไม่ตัดสินใจ,,,,,,,,,
,3/12/2025,Quata Tormelmel,,ü,,,ü,ตรี,,,ปวส,,,0901028855,,,,,ยังไม่ตัดสินใจ,,,,,,,,,
,10/12/2025,Pimwan Darripon,,ü,,,ü,ตรี,บริหารธุรกิจ,โลจิสติกส์,ปวช,,,0867551957,,,,,โทร ขอคิดดูก่อน,,,,,,,,,
,15/12/2025,Ververjo Pimramon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0953496952,22-Dec-2025,09:00-10:00,,,โทร ไม่รับสาย,,,,,,,,,
,16/12/2025,Sontip Noverul,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,083-6342944,31-Dec-2025,,อยากเรียนเฉพาะเสาร์อาทิตย์,,,,,,,,,,,
,19/12/2025,Luponqua Riyahel,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0913306594,19-Dec-2025,,,,โทร ไม่รับสาย,,,,,,,,,
,19/12/2025,lufana 1664,ü,,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช,,,0819956612,22-Dec-2025,,นัดชำระ 500 บาท,,นัดโทรอีกครั้งสัปดาห์หน้า,,,,,,,,,
,19/12/2025,Luix,ü,,ü,,,ตรี,บริหารธุรกิจ,การจัดการธุรกิจสมัยใหม่,ม.6,,,0912995102,20-Dec-2025,,,,ยังไม่ตัดสินใจ,ไม่รับสาย,,,,,,,,
,22/12/2025,ยิ่งภูมิ,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,ขอคิดดูก่อน,,,,,,,,,
,22/12/2025,Pelesa,ü,,ü,,,ตรี,ศิลปศาสตร์,การโรงแรม,ม.6,,,,,,นัดชำระ 500 บาท,,,,,,,,,,,
,22/12/2025,สุขภัทร,ü,,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,,,,,,,,,,,
,22/12/2025,Wanjo,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,22/12/2025,Taom  Meltipan,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,22/12/2025,Pimtorul ภูมิจิต,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,,,,,,,,,,,
,23/12/2025,Nudarbo25,ü,,,,ü,ตรี,บริหารธุรกิจ,โลจิสติกส์,ปวช,,,,,,,,,,,,,,,,,
,23/12/2025,Sontajo Helpezen,ü,,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ป.ตรี,,,082-9090725,,,,,,,,,,,,,,
,23/12/2025,KADARZEN SARATIP,ü,,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,,,,,,,,,,,,,,,,,
,23/12/2025,นุชจันทร์,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช,,,,,,,,,,,,,,,,,
,24/12/2025,Sonnawan Kanuvin,,ü,,,ü,ตรี,,,,,,,,,,,,,,,,,,,,
,24/12/2025,Talumel Yaomson,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,091-5903693,25-Nov-2025,,,,,,,,,,,,,
,24/12/2025,ณัฐรัก จันทร์ฟ้า ปรีดาขวัญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน ม.6,,,,,,,,,,,,,,,,,
,26/12/2025,น้ำทิพ น้ำทิพ,,ü,,,ü,ตรี,พยาบาลศาสตร์,พยาบาลศสาตร์,ม.6,,,0893591201,26-Dec-2025,,,,ขอดูค่าใช้จ่ายก่อน,,,,,,,,,
,26/12/2025,Omverwy Ultiprat,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,,,0629399527,26-Dec-2025,,จบ ปวส. ถามเรื่องเทียบโอน,,,,,,,,,,,
,26/12/2025,Melbohel Gunmondee,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,0995895267,26-Dec-2025,,,,,,,,,,,,,
,1/5/2026,Pimgunhel Tator,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,0645432341,5-Jan-2026,,,,,,,,,,,,,
,1/5/2026,Sontajo   Helpezen,,ü,,,ü,โท,บริหารธุรกิจ,บริหารธุรกิจ,ป.ตรี,,,0829090725,5-Jan-2026,,มีประกันสังคม ถามเรื่องสิทธิ์,น้ำฝน,สนใจสมัคร ขอเวลาตัดสินใจ,ยังไม่ตัดสินใจ,,,,,,,,
,1/10/2026,Lepim Deepequa,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,0636780288,12-Jan-2026,,,น้ำฝน,,,,,,,,,,
,1/12/2026,Sirkator Nasape,,ü,,,ü,ตร,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,0904347745,12-Jan-2026,,นัดชำระ 500 บาท,น้ำฝน,โทร ไม่ได้รับสาย,ขอดูค่าใช้จ่ายก่อน,,,,,,,,
,1/12/2026,Raverpe lusonmel,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,ü,0948288270,12-Jan-2026,,,มะลิ,ยังไม่ตัดสินใจ,,,,,,,,,
,1/12/2026,Darpimjo Bofasir,,ü,,ü,,ตรี,บัญชี,บัญชี,ม.6,,,0957874420,13-Jan-2026,,มีประกันสังคม ถามเรื่องสิทธิ์,น้ำฝน,,,,,,,,,,
,13/01/2026,Kagun Kagun ,,ü,,,ü,ตรี,บริหารธุรกิจ/รัฐศาสตร์,การจัดการ/รัฐประศาสนศาตร์,ปวช,,ü,0802201760,13-Jan-2026,,,มะลิ,โทร ยังไม่ตัดสินใจ,,,,,,,,,
,13/012026,นุชชื่น จิตมั่น,,ü,,,,ตรีี,ศึึกษาศาสตร์,,,,,,13-Jan-2026,,,มะลิ,,,,,,,,,,
